sample,gene_family,transcript_name,transcript_length,nr_reads,min_read_len,median_read_len,max_read_len
Bonobo,PRY,REPLICATE1_transcript_3_support_17REPLICATE2_transcript_2_support_28,534,152,513,534,585
Bonobo,PRY,longer_from_REPLICATE1_transcript_1_support_9,1131,38,177,882.5,2858
Bonobo,PRY,longer_from_REPLICATE1_transcript_0_support_8,1512,27,104,1382,1514
Bonobo,PRY,REPLICATE1_transcript_53_support_10REPLICATE2_transcript_69_support_12,680,44,675,682,688
Bonobo,PRY,REPLICATE1_transcript_2_support_19REPLICATE2_transcript_2_support_14,802,81,773,802,816
Bonobo,PRY,REPLICATE1_transcript_12_support_2REPLICATE2_transcript_12_support_3,404,85,286,408,3152
Bonobo,PRY,REPLICATE1_transcript_3_support_8REPLICATE2_transcript_3_support_14,712,79,676,712,719
Bonobo,RBMY,longer_from_REPLICATE2_transcript_86_support_4,475,84,359,383,554
Bonobo,RBMY,longer_from_REPLICATE2_transcript_142_support_5,379,18,367,371,381
Bonobo,RBMY,longer_from_REPLICATE1_transcript_157_support_5,1910,7,1869,1875,1896
Bonobo,RBMY,longer_from_REPLICATE1_transcript_86_support_2,453,102,190,372,2463
Bonobo,RBMY,longer_from_REPLICATE1_transcript_82_support_2,1896,2,1871,1871.5,1872
Bonobo,RBMY,longer_from_REPLICATE2_transcript_188_support_10,547,263,274,381,542
Bonobo,RBMY,longer_from_REPLICATE2_transcript_73_support_3,377,107,258,351,371
Bonobo,RBMY,longer_from_REPLICATE1_transcript_158_support_5,1910,9,1823,1868,1874
Bonobo,RBMY,longer_from_REPLICATE1_transcript_21_support_6,494,7,467,471,473
Bonobo,RBMY,longer_from_REPLICATE2_transcript_146_support_3,529,8,465,473.5,502
Bonobo,RBMY,longer_from_REPLICATE2_transcript_144_support_3,381,10,199,301.5,381
Bonobo,RBMY,REPLICATE1_transcript_166_support_3REPLICATE2_transcript_218_support_7,1775,40,1751,1777,1839
Bonobo,RBMY,longer_from_REPLICATE1_transcript_10_support_2,1801,5,1711,1752,1764
Bonobo,RBMY,longer_from_REPLICATE2_transcript_235_support_3,638,87,352,441,3579
Bonobo,RBMY,longer_from_REPLICATE2_transcript_0_support_3,758,12,688,738.5,3002
Bonobo,RBMY,longer_from_REPLICATE2_transcript_19_support_7,1800,7,1735,1754,1761
Bonobo,RBMY,longer_from_REPLICATE1_transcript_193_support_3,603,13,497,502,508
Bonobo,RBMY,longer_from_REPLICATE2_transcript_200_support_8,1879,5,1827,1847,1850
Bonobo,RBMY,longer_from_REPLICATE1_transcript_121_support_8,399,41,346,385,397
Bonobo,RBMY,longer_from_REPLICATE2_transcript_15_support_3,1860,3,1815,1838,1842
Bonobo,RBMY,REPLICATE1_transcript_44_support_6REPLICATE2_transcript_256_support_5,352,38,344,353.5,360
Bonobo,RBMY,REPLICATE1_transcript_132_support_8REPLICATE2_transcript_147_support_4,469,68,384,418.5,473
Bonobo,TSPY,longer_from_REPLICATE1_transcript_118_support_5,1140,99,1055,1108,1175
Bonobo,TSPY,longer_from_REPLICATE1_transcript_206_support_5,563,4,562,568.5,577
Bonobo,TSPY,longer_from_REPLICATE2_transcript_290_support_2,599,20,511,555.5,727
Bonobo,TSPY,longer_from_REPLICATE1_transcript_18_support_7,385,67,192,291,2343
Bonobo,TSPY,longer_from_REPLICATE1_transcript_101_support_8,1087,37,587,1068,1089
Bonobo,TSPY,longer_from_REPLICATE1_transcript_134_support_5,1085,15,1067,1079,1086
Bonobo,TSPY,longer_from_REPLICATE2_transcript_159_support_5,498,17,440,459,532
Bonobo,TSPY,longer_from_REPLICATE2_transcript_68_support_2,461,10,440,454.5,465
Bonobo,TSPY,longer_from_REPLICATE2_transcript_64_support_4,1094,25,1076,1088,1131
Bonobo,TSPY,longer_from_REPLICATE1_transcript_256_support_3,535,365,154,296,532
Bonobo,TSPY,longer_from_REPLICATE2_transcript_18_support_6,370,12,364,371.5,378
Bonobo,TSPY,longer_from_REPLICATE2_transcript_69_support_3,260,7,252,255,261
Bonobo,TSPY,longer_from_REPLICATE2_transcript_62_support_7,1098,32,577,1079.5,3076
Bonobo,TSPY,longer_from_REPLICATE1_transcript_137_support_2,1077,24,1064,1076,1086
Bonobo,TSPY,REPLICATE1_transcript_57_support_5REPLICATE2_transcript_88_support_4,1105,67,1025,1071,1118
Bonobo,TSPY,longer_from_REPLICATE2_transcript_56_support_2,1071,24,1025,1065.5,1072
Bonobo,TSPY,longer_from_REPLICATE2_transcript_72_support_5,802,7,762,782,794
Bonobo,TSPY,longer_from_REPLICATE1_transcript_243_support_3,457,38,364,398,432
Bonobo,TSPY,longer_from_REPLICATE2_transcript_139_support_4,862,50,287,470.5,1867
Bonobo,TSPY,longer_from_REPLICATE1_transcript_245_support_2,397,5,301,310,314
Bonobo,TSPY,longer_from_REPLICATE1_transcript_26_support_3,703,3,607,610,610
Bonobo,TSPY,longer_from_REPLICATE1_transcript_247_support_3,111,5,99,114,133
Bonobo,TSPY,REPLICATE1_transcript_235_support_12REPLICATE2_transcript_278_support_11,256,70,236,256,269
Bonobo,TSPY,longer_from_REPLICATE2_transcript_149_support_5,556,7,445,474,492
Bonobo,TSPY,longer_from_REPLICATE1_transcript_45_support_8,1105,95,587,1096,1126
Bonobo,TSPY,REPLICATE1_transcript_135_support_8REPLICATE2_transcript_162_support_9,1000,47,973,1001,1027
Bonobo,VCY_cb,longer_from_REPLICATE2_transcript_22_support_3,425,147,150,352,3037
Bonobo,VCY_cb,longer_from_REPLICATE1_transcript_7_support_2,712,33,635,690,697
Bonobo,VCY_cb,longer_from_REPLICATE2_transcript_170_support_5,630,63,618,628,631
Bonobo,VCY_cb,REPLICATE1_transcript_249_support_3REPLICATE2_transcript_347_support_3,270,28,239,273,1007
Bonobo,VCY_cb,longer_from_REPLICATE2_transcript_107_support_2,775,16,747,1117,1518
Bonobo,VCY_cb,REPLICATE1_transcript_1_support_2REPLICATE2_transcript_0_support_7,263,52,168,277,1016
Bonobo,VCY_cb,longer_from_REPLICATE1_transcript_209_support_3,660,94,620,653,3877
Bonobo,VCY_cb,longer_from_REPLICATE1_transcript_59_support_2,698,20,655,672,716
Bonobo,VCY_cb,longer_from_REPLICATE1_transcript_137_support_2,630,5,622,624,629
Bonobo,VCY_cb,REPLICATE1_transcript_129_support_12REPLICATE2_transcript_168_support_15,632,76,574,630,729
Bonobo,VCY_cb,longer_from_REPLICATE1_transcript_148_support_3,630,31,543,626,631
Bonobo,VCY_cb,REPLICATE1_transcript_222_support_6REPLICATE2_transcript_301_support_3,720,94,655,694,739
Bonobo,VCY_cb,REPLICATE1_transcript_147_support_9REPLICATE2_transcript_198_support_28,630,97,623,631,698
Bonobo,VCY_cb,longer_from_REPLICATE1_transcript_39_support_4,292,52,177,708.5,2858
Bonobo,VCY_cb,longer_from_REPLICATE2_transcript_245_support_9,719,4,706,716,738
Bonobo,VCY_cb,longer_from_REPLICATE1_transcript_91_support_3,712,31,688,693,727
Bonobo,VCY_cb,longer_from_REPLICATE2_transcript_206_support_2,624,52,588,609,634
Bonobo,VCY_cb,REPLICATE1_transcript_158_support_38REPLICATE2_transcript_212_support_41,630,229,597,631,640
Bonobo,VCY_cb,longer_from_REPLICATE1_transcript_241_support_11,780,63,723,752,814
Bonobo,VCY_cb,longer_from_REPLICATE1_transcript_169_support_15,690,37,678,687,693
Bonobo,VCY_cb,REPLICATE1_transcript_164_support_19REPLICATE2_transcript_217_support_24,630,179,574,630,640
Bonobo,VCY_cb,longer_from_REPLICATE1_transcript_180_support_3,630,10,624,625.5,632
Bonobo,VCY_cb,longer_from_REPLICATE2_transcript_161_support_7,631,12,619,626.5,630
Bonobo,VCY_cb,longer_from_REPLICATE2_transcript_110_support_2,438,5,345,352,366
Bonobo,VCY_cb,longer_from_REPLICATE1_transcript_260_support_2,370,10,277,286,293
Bonobo,VCY_cb,longer_from_REPLICATE2_transcript_254_support_4,658,8,606,628.5,632
Bonobo,VCY_cb,REPLICATE1_transcript_139_support_3REPLICATE2_transcript_182_support_6,630,35,629,1073,1096
Bonobo,VCY_cb,longer_from_REPLICATE1_transcript_215_support_6,660,28,289,309.5,661
Bonobo,XKRY,longer_from_REPLICATE2_transcript_234_support_5,1066,64,832,959.5,1086
Bonobo,XKRY,longer_from_REPLICATE1_transcript_391_support_5,819,13,762,775,797
Bonobo,XKRY,longer_from_REPLICATE2_transcript_260_support_4,1073,21,1047,1795,1815
Bonobo,XKRY,longer_from_REPLICATE2_transcript_190_support_57,1583,64,1481,1572,1590
Bonobo,XKRY,longer_from_REPLICATE1_transcript_141_support_5,1119,4,1091,1100,1125
Bonobo,XKRY,REPLICATE1_transcript_96_support_11REPLICATE2_transcript_73_support_7,1557,532,1528,1558,1599
Bonobo,XKRY,longer_from_REPLICATE2_transcript_345_support_11,541,4,427,520.5,540
Bonobo,XKRY,longer_from_REPLICATE1_transcript_324_support_9,1348,122,1302,1346,1374
Bonobo,XKRY,longer_from_REPLICATE2_transcript_15_support_8,1238,46,1153,1214,1254
Bonobo,XKRY,longer_from_REPLICATE2_transcript_27_support_5,1297,22,1285,1298,1331
Bonobo,XKRY,longer_from_REPLICATE1_transcript_349_support_11,1587,81,1559,1570,1634
Bonobo,XKRY,longer_from_REPLICATE1_transcript_71_support_8,1327,40,1302,1321,1370
Bonobo,XKRY,longer_from_REPLICATE2_transcript_56_support_8,1468,13,1461,1468,1482
Bonobo,XKRY,REPLICATE1_transcript_388_support_4REPLICATE2_transcript_320_support_4,1416,29,53,1417,1441
Bonobo,XKRY,longer_from_REPLICATE1_transcript_218_support_3,1274,13,1248,1261,1280
Bonobo,XKRY,longer_from_REPLICATE1_transcript_173_support_3,1587,32,1581,1589.5,1604
Bonobo,XKRY,longer_from_REPLICATE1_transcript_178_support_6,1498,8,1483,1490,1502
Bonobo,XKRY,longer_from_REPLICATE1_transcript_264_support_7,697,68,641,675,721
Gorilla,BPY2,longer_from_REPLICATE1_transcript_20_support_3,1046,102,52,305,3458
Gorilla,BPY2,longer_from_REPLICATE1_transcript_3_support_3,3260,17,384,546,3181
Gorilla,BPY2,longer_from_REPLICATE1_transcript_7_support_2,3094,10,1182,2134.5,3110
Gorilla,BPY2,longer_from_REPLICATE2_transcript_5_support_3,628,8,574,825.5,1061
Gorilla,BPY2,longer_from_REPLICATE2_transcript_60_support_4,877,22,101,747,2199
Gorilla,BPY2,longer_from_REPLICATE2_transcript_37_support_7,682,74,631,636,639
Gorilla,CDY,longer_from_REPLICATE2_transcript_22_support_5,1943,15,1900,1921,1927
Gorilla,CDY,longer_from_REPLICATE2_transcript_53_support_3,2045,12,2020,2041.5,2133
Gorilla,CDY,longer_from_REPLICATE2_transcript_24_support_5,1947,13,1919,1922,1927
Gorilla,CDY,longer_from_REPLICATE2_transcript_21_support_7,1943,10,1931,1939,1945
Gorilla,CDY,longer_from_REPLICATE2_transcript_7_support_2,1978,26,1923,1936.5,3389
Gorilla,DAZ,REPLICATE1_transcript_16_support_15REPLICATE2_transcript_21_support_5,1163,60,432,1162,1214
Gorilla,DAZ,longer_from_REPLICATE1_transcript_66_support_3,443,4,421,421,422
Gorilla,DAZ,longer_from_REPLICATE1_transcript_69_support_5,3052,57,2944,2971,3039
Gorilla,DAZ,longer_from_REPLICATE2_transcript_7_support_6,2316,82,134,2267,2366
Gorilla,DAZ,longer_from_REPLICATE1_transcript_67_support_3,2000,6,1600,1778.5,1936
Gorilla,DAZ,longer_from_REPLICATE1_transcript_191_support_2,2663,10,2560,2569,2580
Gorilla,DAZ,REPLICATE1_transcript_2_support_2REPLICATE2_transcript_1_support_7,198,53,82,191,427
Gorilla,DAZ,REPLICATE1_transcript_168_support_3REPLICATE2_transcript_107_support_3,296,23,178,300,3602
Gorilla,DAZ,longer_from_REPLICATE2_transcript_211_support_3,1431,3,1416,1416,1417
Gorilla,DAZ,longer_from_REPLICATE1_transcript_8_support_3,91,64,51,220,1267
Gorilla,DAZ,longer_from_REPLICATE1_transcript_15_support_5,2631,97,53,403,2642
Gorilla,DAZ,longer_from_REPLICATE2_transcript_8_support_3,122,16,112,120.5,127
Gorilla,DAZ,longer_from_REPLICATE2_transcript_126_support_3,1007,4,940,944,1054
Gorilla,DAZ,REPLICATE1_transcript_138_support_15REPLICATE2_transcript_83_support_21,2541,81,2454,2541,2617
Gorilla,DAZ,longer_from_REPLICATE2_transcript_6_support_5,130,23,129,295,986
Gorilla,DAZ,longer_from_REPLICATE1_transcript_138_support_7,540,7,421,422,505
Gorilla,DAZ,REPLICATE1_transcript_81_support_2REPLICATE2_transcript_164_support_16,2521,55,51,2521,2532
Gorilla,DAZ,longer_from_REPLICATE1_transcript_1_support_3,318,123,51,172,1704
Gorilla,DAZ,longer_from_REPLICATE1_transcript_112_support_3,1195,3,1123,1138,1138
Gorilla,DAZ,longer_from_REPLICATE2_transcript_3_support_2,263,37,56,798,3678
Gorilla,DAZ,longer_from_REPLICATE2_transcript_8_support_4,284,80,67,406.5,3364
Gorilla,DAZ,longer_from_REPLICATE2_transcript_33_support_3,1321,7,1236,1273,1313
Gorilla,DAZ,longer_from_REPLICATE1_transcript_19_support_5,3026,44,94,2987,3133
Gorilla,DAZ,REPLICATE1_transcript_0_support_11REPLICATE2_transcript_0_support_12,98,72,79,98,121
Gorilla,DAZ,longer_from_REPLICATE2_transcript_201_support_5,859,7,846,929,1422
Gorilla,DAZ,longer_from_REPLICATE2_transcript_146_support_3,2324,9,2216,2238,2250
Gorilla,DAZ,REPLICATE1_transcript_95_support_14REPLICATE2_transcript_177_support_7,2665,52,2645,2665,2693
Gorilla,DAZ,longer_from_REPLICATE1_transcript_126_support_4,2610,39,298,2521,2628
Gorilla,DAZ,longer_from_REPLICATE1_transcript_235_support_3,2191,22,131,400,2141
Gorilla,DAZ,REPLICATE1_transcript_7_support_24REPLICATE2_transcript_6_support_17,95,112,58,95,1243
Gorilla,DAZ,longer_from_REPLICATE2_transcript_167_support_6,2809,5,2754,2759,2778
Gorilla,DAZ,longer_from_REPLICATE2_transcript_71_support_4,2305,4,2290,2301,2302
Gorilla,DAZ,longer_from_REPLICATE2_transcript_147_support_6,2328,26,2263,2318,2337
Gorilla,DAZ,REPLICATE1_transcript_80_support_6REPLICATE2_transcript_162_support_5,2521,23,2519,2521,2538
Gorilla,DAZ,REPLICATE1_transcript_237_support_6REPLICATE2_transcript_168_support_7,534,172,517,614.5,639
Gorilla,DAZ,longer_from_REPLICATE2_transcript_199_support_6,2401,138,101,2233,2476
Gorilla,DAZ,REPLICATE1_transcript_186_support_5REPLICATE2_transcript_117_support_6,2562,72,2440,2538.5,2569
Gorilla,DAZ,longer_from_REPLICATE2_transcript_139_support_4,558,3,515,538,546
Gorilla,DAZ,longer_from_REPLICATE1_transcript_86_support_3,3004,38,357,533,3018
Gorilla,DAZ,longer_from_REPLICATE1_transcript_82_support_3,2679,31,579,769,2642
Gorilla,DAZ,longer_from_REPLICATE1_transcript_133_support_8,779,20,56,305.5,794
Gorilla,DAZ,longer_from_REPLICATE1_transcript_150_support_5,568,172,58,285,1987
Gorilla,DAZ,longer_from_REPLICATE2_transcript_30_support_22,966,298,80,501,2469
Gorilla,HSFY,longer_from_REPLICATE2_transcript_18_support_4,719,3,716,717,743
Gorilla,HSFY,REPLICATE1_transcript_72_support_8REPLICATE2_transcript_35_support_8,1229,132,1069,1584.5,1618
Gorilla,HSFY,longer_from_REPLICATE1_transcript_93_support_3,1295,8,1287,1294,1298
Gorilla,HSFY,longer_from_REPLICATE2_transcript_41_support_3,1257,21,92,400,1258
Gorilla,HSFY,longer_from_REPLICATE1_transcript_213_support_7,1406,21,101,1324,1398
Gorilla,HSFY,longer_from_REPLICATE2_transcript_36_support_5,226,34,182,184,186
Gorilla,HSFY,REPLICATE1_transcript_5_support_5REPLICATE2_transcript_4_support_4,520,185,88,469,3018
Gorilla,HSFY,longer_from_REPLICATE1_transcript_4_support_13,254,75,205,224,278
Gorilla,HSFY,longer_from_REPLICATE2_transcript_15_support_5,1886,5,120,1868,1885
Gorilla,HSFY,REPLICATE1_transcript_64_support_23REPLICATE2_transcript_32_support_20,1393,198,1267,1392,2167
Gorilla,HSFY,longer_from_REPLICATE2_transcript_41_support_6,1295,7,1282,1289,1299
Gorilla,HSFY,longer_from_REPLICATE1_transcript_47_support_3,647,17,101,1159,1182
Gorilla,HSFY,REPLICATE1_transcript_9_support_12REPLICATE2_transcript_7_support_6,114,140,54,124,2326
Gorilla,HSFY,longer_from_REPLICATE2_transcript_36_support_3,1295,13,1279,1421,1535
Gorilla,HSFY,REPLICATE1_transcript_11_support_3REPLICATE2_transcript_13_support_3,886,168,53,319,3678
Gorilla,HSFY,longer_from_REPLICATE1_transcript_36_support_31,261,160,178,249,285
Gorilla,HSFY,REPLICATE1_transcript_89_support_15REPLICATE2_transcript_47_support_11,1393,105,1338,1393,1417
Gorilla,HSFY,longer_from_REPLICATE2_transcript_39_support_4,549,40,103,477,651
Gorilla,HSFY,longer_from_REPLICATE2_transcript_31_support_10,323,40,247,262,291
Gorilla,HSFY,longer_from_REPLICATE1_transcript_16_support_10,779,29,579,769,2642
Gorilla,HSFY,longer_from_REPLICATE2_transcript_6_support_2,548,152,55,313.5,1625
Gorilla,HSFY,REPLICATE1_transcript_96_support_15REPLICATE2_transcript_55_support_12,1393,108,1331,1393,1613
Gorilla,HSFY,longer_from_REPLICATE1_transcript_147_support_6,1459,10,971,1430,1459
Gorilla,HSFY,longer_from_REPLICATE2_transcript_52_support_6,705,61,96,623,3359
Gorilla,HSFY,longer_from_REPLICATE2_transcript_3_support_3,483,63,55,318,1625
Gorilla,HSFY,REPLICATE1_transcript_78_support_17REPLICATE2_transcript_39_support_13,1393,298,282,304,1433
Gorilla,HSFY,REPLICATE1_transcript_105_support_12REPLICATE2_transcript_58_support_15,1393,108,1270,1393,1414
Gorilla,HSFY,longer_from_REPLICATE2_transcript_6_support_4,1264,27,96,920,2826
Gorilla,HSFY,longer_from_REPLICATE1_transcript_9_support_3,1240,29,101,733,1429
Gorilla,HSFY,longer_from_REPLICATE2_transcript_9_support_3,1390,21,101,1387,2804
Gorilla,HSFY,longer_from_REPLICATE1_transcript_56_support_4,1295,10,1280,1292,1297
Gorilla,PRY,REPLICATE1_transcript_22_support_6REPLICATE2_transcript_19_support_3,397,66,209,402,2789
Gorilla,PRY,longer_from_REPLICATE2_transcript_8_support_2,100,5,54,63,69
Gorilla,PRY,REPLICATE1_transcript_5_support_32REPLICATE2_transcript_5_support_35,364,222,53,364,2283
Gorilla,PRY,REPLICATE1_transcript_42_support_4REPLICATE2_transcript_34_support_4,101,12,101,101,101
Gorilla,PRY,longer_from_REPLICATE2_transcript_4_support_5,137,37,56,798,3678
Gorilla,PRY,REPLICATE1_transcript_0_support_33REPLICATE2_transcript_1_support_37,116,185,50,116,130
Gorilla,PRY,REPLICATE1_transcript_4_support_9REPLICATE2_transcript_0_support_6,456,98,94,290,915
Gorilla,PRY,longer_from_REPLICATE1_transcript_8_support_2,277,38,73,248,950
Gorilla,PRY,longer_from_REPLICATE2_transcript_1_support_6,173,202,51,225,3205
Gorilla,PRY,REPLICATE1_transcript_7_support_13REPLICATE2_transcript_8_support_11,100,69,97,100,712
Gorilla,PRY,longer_from_REPLICATE2_transcript_27_support_2,96,12,95,411.5,431
Gorilla,PRY,REPLICATE1_transcript_44_support_2REPLICATE2_transcript_37_support_2,101,41,50,2962,3018
Gorilla,PRY,longer_from_REPLICATE2_transcript_0_support_4,612,45,80,323,2615
Gorilla,PRY,REPLICATE1_transcript_29_support_32REPLICATE2_transcript_28_support_32,679,219,646,679,731
Gorilla,PRY,longer_from_REPLICATE1_transcript_1_support_5,82,38,73,248,950
Gorilla,PRY,REPLICATE1_transcript_30_support_4REPLICATE2_transcript_27_support_3,101,43,93,586,2202
Gorilla,PRY,REPLICATE1_transcript_1_support_9REPLICATE2_transcript_0_support_4,93,211,54,128,2326
Gorilla,PRY,REPLICATE1_transcript_15_support_5REPLICATE2_transcript_12_support_8,101,55,93,104,2654
Gorilla,PRY,longer_from_REPLICATE1_transcript_2_support_5,270,202,53,433,2251
Gorilla,PRY,REPLICATE1_transcript_68_support_2REPLICATE2_transcript_46_support_4,270,45,186,404,1980
Gorilla,PRY,REPLICATE1_transcript_1_support_17REPLICATE2_transcript_0_support_21,92,182,61,112,1580
Gorilla,PRY,longer_from_REPLICATE2_transcript_3_support_4,194,78,60,268.5,2812
Gorilla,PRY,longer_from_REPLICATE1_transcript_1_support_4,141,73,51,201,1915
Gorilla,PRY,longer_from_REPLICATE1_transcript_4_support_6,86,20,75,80.5,670
Gorilla,PRY,REPLICATE1_transcript_8_support_8REPLICATE2_transcript_3_support_5,80,110,53,233,3286
Gorilla,PRY,longer_from_REPLICATE1_transcript_4_support_2,135,116,53,378,2642
Gorilla,PRY,REPLICATE1_transcript_23_support_13REPLICATE2_transcript_21_support_9,101,39,83,101,102
Gorilla,PRY,longer_from_REPLICATE1_transcript_4_support_3,208,35,155,506,1490
Gorilla,PRY,REPLICATE1_transcript_6_support_58REPLICATE2_transcript_11_support_54,100,286,50,100,740
Gorilla,PRY,REPLICATE1_transcript_6_support_11REPLICATE2_transcript_9_support_3,434,419,61,306,3064
Gorilla,PRY,REPLICATE1_transcript_9_support_59REPLICATE2_transcript_2_support_16,398,255,364,399,472
Gorilla,PRY,longer_from_REPLICATE2_transcript_5_support_2,126,35,82,124,427
Gorilla,PRY,REPLICATE1_transcript_8_support_8REPLICATE2_transcript_1_support_11,784,48,73,782.5,786
Gorilla,PRY,longer_from_REPLICATE2_transcript_4_support_2,222,89,61,198,1580
Gorilla,PRY,longer_from_REPLICATE2_transcript_21_support_5,450,72,88,405.5,2357
Gorilla,PRY,longer_from_REPLICATE2_transcript_1_support_2,67,27,50,316,2430
Gorilla,PRY,longer_from_REPLICATE1_transcript_2_support_2,90,74,50,155,1273
Gorilla,PRY,REPLICATE1_transcript_1_support_5REPLICATE2_transcript_2_support_2,712,115,62,233,950
Gorilla,PRY,longer_from_REPLICATE2_transcript_3_support_3,212,47,126,336,798
Gorilla,PRY,REPLICATE1_transcript_0_support_8REPLICATE2_transcript_0_support_11,103,62,102,202.5,651
Gorilla,PRY,longer_from_REPLICATE2_transcript_2_support_3,603,18,251,349.5,544
Gorilla,PRY,longer_from_REPLICATE2_transcript_0_support_2,150,69,57,344,3205
Gorilla,PRY,REPLICATE1_transcript_27_support_655REPLICATE2_transcript_24_support_625,96,2528,64,96,124
Gorilla,PRY,REPLICATE1_transcript_29_support_7REPLICATE2_transcript_26_support_3,101,96,100,373,1223
Gorilla,PRY,REPLICATE1_transcript_8_support_29REPLICATE2_transcript_4_support_22,91,175,54,91,2326
Gorilla,PRY,REPLICATE1_transcript_16_support_3REPLICATE2_transcript_14_support_2,101,33,101,876,2804
Gorilla,PRY,longer_from_REPLICATE2_transcript_0_support_3,491,87,64,222,3103
Gorilla,PRY,longer_from_REPLICATE2_transcript_28_support_3,191,150,89,116,2454
Gorilla,PRY,longer_from_REPLICATE1_transcript_1_support_2,60,18,52,552.5,2756
Gorilla,PRY,longer_from_REPLICATE2_transcript_8_support_6,93,35,57,247,3085
Gorilla,PRY,REPLICATE1_transcript_11_support_9REPLICATE2_transcript_2_support_13,341,43,332,341,350
Gorilla,PRY,longer_from_REPLICATE2_transcript_3_support_2,818,37,56,798,3678
Gorilla,PRY,longer_from_REPLICATE2_transcript_1_support_3,189,73,70,349,2902
Gorilla,PRY,REPLICATE1_transcript_20_support_5REPLICATE2_transcript_18_support_3,397,31,84,397,1092
Gorilla,PRY,longer_from_REPLICATE1_transcript_35_support_3,412,5,408,411,417
Gorilla,PRY,REPLICATE1_transcript_3_support_5REPLICATE2_transcript_8_support_3,57,187,50,137,4440
Gorilla,PRY,REPLICATE1_transcript_5_support_5REPLICATE2_transcript_4_support_4,385,385,52,320,3364
Gorilla,PRY,longer_from_REPLICATE2_transcript_13_support_3,324,13,65,284,1101
Gorilla,PRY,REPLICATE1_transcript_43_support_4REPLICATE2_transcript_35_support_6,101,32,87,101,796
Gorilla,PRY,REPLICATE1_transcript_6_support_4REPLICATE2_transcript_2_support_3,220,230,52,357,3458
Gorilla,PRY,longer_from_REPLICATE1_transcript_11_support_4,800,6,743,777,785
Gorilla,PRY,REPLICATE1_transcript_7_support_5REPLICATE2_transcript_10_support_5,504,121,95,478,1490
Gorilla,PRY,REPLICATE1_transcript_19_support_3REPLICATE2_transcript_16_support_2,101,33,83,398,2000
Gorilla,PRY,REPLICATE1_transcript_1_support_12REPLICATE2_transcript_1_support_12,103,60,91,103,743
Gorilla,PRY,REPLICATE1_transcript_2_support_6REPLICATE2_transcript_5_support_6,135,101,108,146,924
Gorilla,PRY,longer_from_REPLICATE2_transcript_38_support_2,97,67,96,238,2833
Gorilla,PRY,longer_from_REPLICATE2_transcript_10_support_3,103,85,51,143,1704
Gorilla,PRY,longer_from_REPLICATE2_transcript_35_support_7,315,97,269,489,576
Gorilla,PRY,REPLICATE1_transcript_5_support_5REPLICATE2_transcript_2_support_4,232,129,88,263,1968
Gorilla,PRY,REPLICATE1_transcript_36_support_956REPLICATE2_transcript_31_support_888,101,3245,54,101,115
Gorilla,PRY,REPLICATE1_transcript_11_support_13REPLICATE2_transcript_3_support_12,234,110,56,285.5,1978
Gorilla,PRY,REPLICATE1_transcript_1_support_13REPLICATE2_transcript_5_support_23,534,119,506,534,550
Gorilla,PRY,longer_from_REPLICATE1_transcript_13_support_7,191,6,169,189.5,200
Gorilla,PRY,longer_from_REPLICATE1_transcript_16_support_5,316,7,283,284,305
Gorilla,PRY,REPLICATE1_transcript_4_support_3REPLICATE2_transcript_3_support_2,143,131,51,168,2325
Gorilla,PRY,REPLICATE1_transcript_17_support_52REPLICATE2_transcript_17_support_54,594,357,574,594,667
Gorilla,PRY,REPLICATE1_transcript_0_support_13REPLICATE2_transcript_1_support_15,140,82,106,140,463
Gorilla,PRY,REPLICATE1_transcript_52_support_3REPLICATE2_transcript_44_support_3,101,67,101,540,2521
Gorilla,PRY,longer_from_REPLICATE1_transcript_13_support_6,144,74,50,155,1273
Gorilla,PRY,REPLICATE1_transcript_10_support_24REPLICATE2_transcript_10_support_15,100,72,80,100,118
Gorilla,PRY,REPLICATE1_transcript_7_support_6REPLICATE2_transcript_12_support_3,225,168,67,305,3364
Gorilla,PRY,longer_from_REPLICATE2_transcript_44_support_3,113,41,62,113,1220
Gorilla,PRY,longer_from_REPLICATE1_transcript_18_support_2,96,100,58,274,1987
Gorilla,PRY,REPLICATE1_transcript_26_support_5REPLICATE2_transcript_24_support_3,101,65,100,721,1429
Gorilla,PRY,longer_from_REPLICATE2_transcript_9_support_9,169,26,141,176.5,462
Gorilla,PRY,longer_from_REPLICATE2_transcript_12_support_5,273,33,101,293,2000
Gorilla,PRY,REPLICATE1_transcript_2_support_16REPLICATE2_transcript_1_support_10,93,107,54,93,2326
Gorilla,PRY,REPLICATE1_transcript_6_support_18REPLICATE2_transcript_5_support_16,232,144,221,232,259
Gorilla,PRY,longer_from_REPLICATE1_transcript_10_support_3,248,67,100,256,2276
Gorilla,PRY,REPLICATE1_transcript_53_support_4REPLICATE2_transcript_45_support_3,101,36,101,372.5,1398
Gorilla,PRY,REPLICATE1_transcript_7_support_13REPLICATE2_transcript_6_support_10,710,113,97,709,3064
Gorilla,PRY,longer_from_REPLICATE1_transcript_38_support_3,268,112,65,292,3590
Gorilla,PRY,REPLICATE1_transcript_1_support_6REPLICATE2_transcript_2_support_3,53,247,52,256,3458
Gorilla,PRY,REPLICATE1_transcript_0_support_8REPLICATE2_transcript_1_support_5,215,144,98,227.5,941
Gorilla,PRY,REPLICATE1_transcript_4_support_66REPLICATE2_transcript_4_support_38,100,241,50,100,740
